,Nom d'utilisateur,Following,Followers,Nombre total de tweet,Nombre de retweet,Contenu brut,Contenu tokenisé,Hashtags,Date
623,R___P__l63,71,77,12284,9,"#Ecolo veut instaurer une new taxe de 50€ pour tous les Wallons dans sa réforme fiscale automobile pour l’usage du réseau routier. Une vignette juste payée par les Wallons et pas par les étrangers qui traverseront la Wallonie! 😏
Bref : #Ecolo dehors #ParlWal","['ecolo', 'vouloir', 'instaurer', 'new', 'taxe', '50', 'wallon', 'reforme', 'fiscal', 'automobile', 'usage', 'reseau', 'routier', 'vignette', 'payer', 'wallon', 'etranger', 'traverser', 'wallonie', 'bref', 'ecolo']",['Ecolo'],2022-06-23
624,ITranchimand,486,354,20895,393,"Cela fait 15 ans que les présidents 🇫🇷 la promettent, @EmmanuelMacron est celui qui l’a faite passer ! 

➡️Enfin, la taxe carbone aux frontières de l’🇪🇺 va être mise en place. 

Une mesure de protection fondamentale contre le dumping environnemental des entreprises hors-UE. https://t.co/248iMZfyhS","['15', 'an', 'president', 'promettre', 'faire', 'passer', 'enfin', 'taxe', 'carbone', 'frontiere', 'mettre', 'place', 'mesure', 'protection', 'fondamental', 'contre', 'dumping', 'environnemental', 'entreprise', 'hors-ue']",[],2022-06-23
625,TomBombadil32,442,12,161,0,"@KhattabiZakia C'est-à-dire plus de taxes sur le travail de personnes qualifiées mais qui sont loin d'être riches, alors que le problème est que notre pays taxe trop le travail. Si vous voulez supprimer les voitures de société, trouvez un mécanisme compensatoire pour l'employeur et l'employé","['taxe', 'travail', 'personne', 'qualifier', 'loin', 'riche', 'probleme', 'pays', 'taxe', 'trop', 'travail', 'vouloir', 'supprimer', 'voiture', 'societe', 'trouver', 'mecanisme', 'compensatoire', 'employeur', 'employe']",[],2022-06-23
626,ArthurNardy,673,189,6555,5,"Finalement, la taxe carbone aux frontières a été votée au Parlement européen : un compromis a été trouvé après que chaque parti ait accepté de faire des concessions. Comme quoi c'est possible... 
https://t.co/Y6kuxqd2lI https://t.co/wYL7DVHGv0 https://t.co/VE1uKOcKPi","['finalement', 'taxe', 'carbone', 'frontiere', 'etre', 'voter', 'parlement', 'europeen', 'compromis', 'etre', 'trouver', 'parti', 'accepter', 'faire', 'concession']",[],2022-06-23
627,JeremieJoubert4,585,119,837,3,"- ""adopté par 479 voix (103 contre, 48 abstentions)""
- ""Nous avons trouvé une solution en moins d’une semaine"" 
- ""fruit d’un accord entre le PPE, S&amp;D et Renew Europe"" 
- élargissement du marché carbone UE
- taxe carbone sur importations
#proportionnelle  https://t.co/nYmLZhSqDN","['adopter', '479', 'voix', '103', 'contre', '48', 'abstention', 'trouver', 'solution', 'semaine', 'fruit', 'accord', 'ppe', 's&amp;d', 'renew', 'europe', 'elargissement', 'marche', 'carbone', 'ue', 'taxe', 'carbone', 'importation', 'proportionnel']",[],2022-06-23
628,CURTIAntoine,57,36,770,298,"L’Espagne, en s’extirpant du carcan  européen dans le secteur, fait passer la TVA sur l'électricité de 21% à 5%, mesure financée par une taxe sur les bénéfices des grandes entreprises énergétiques. Précisément ce que nous défendons depuis des mois ! Qu’attend le gouvernement ? https://t.co/onQm60yHBo","['espagne', 'extirper', 'carcan', 'europeen', 'secteur', 'passer', 'tva', 'electricite', '21', 'mesure', 'financer', 'taxe', 'benefice', 'grand', 'entreprise', 'energetique', 'precisement', 'defendre', 'mois', 'attendre', 'gouvernement']",[],2022-06-23
629,chivot_pierre,24,99,36819,3,@J_Bardella @LEURINChristop1 J'avais fait une projection sur la mesure que préconisait MLP en baissant à 5.5% la TVA sur les carburants et en ne taxant plus la TICPE qui est déjà une taxe https://t.co/ksWh0oCcwA,"['projection', 'mesure', 'preconiser', 'mlp', 'baisser', '5.5', 'tva', 'carburant', 'taxer', 'ticpe', 'taxe']",[],2022-06-23
630,jc_laborie,1688,696,25347,0,"@pcanfin A ce propos, la taxe carbone au frontière, elle vaut aussi pour les Allemands ?
Je demande, vue leur consommation de charbon et la merde qu'ils nous balancent. https://t.co/MmdJqcuCBz","['propos', 'taxe', 'carbone', 'frontiere', 'valoir', 'allemand', 'demande', 'vue', 'consommation', 'charbon', 'merde', 'balancer']",[],2022-06-23
631,805bren,81,97,31064,0,"Très très important : si un de vos parent vous taxe de l’argent, bah sachez que ce parent est un connard https://t.co/uD4m2x9mHk","['important', 'parent', 'taxe', 'argent', 'bah', 'savoir', 'parent', 'connard']",[],2022-06-23
632,loicvv,657,88,4721,0,@Drakkhen_Joe Rien contre la gauche... Je trouve simplement que c'est injuste d'être plus taxé parce que je suis célibataire sans enfant...,"['rien', 'contre', 'gauche', 'trouve', 'simplement', 'injuste', 'taxer', 'celibataire', 'enfant']",[],2022-06-23
